"姓名" "年龄" "身高" "体重" "俱乐部" "位置" "惯用脚" "逆足能力" "花式技巧" "国际声誉" "传中" "射术" "头球精度" "短传" "凌空" "盘带" "弧线" "任意球精度" "长传" "控球" "加速" "速度" "敏捷" "移动反应" "平衡" "射门力量" "弹跳" "体能" "强壮" "远射" "侵略性" "拦截意识" "跑位" "视野" "点球" "沉着" "盯人" "抢断" "铲球" "鱼跃" "手形" "开球" "站位" "守门反应" "联赛" "球队位置" "综合能力"
"Daniel José Rodríguez Vázquez" 31 177.8 159 "马洛卡" "左中场" "右脚" 3 3 1 70 78 56 75 46 72 64 64 72 76 69 63 67 72 71 69 65 68 64 77 60 61 70 73 61 64 58 68 62 15 15 9 8 7 "西甲" "中场" 75
"Rubén Iván Martínez Andrade" 35 187.96 174 "奥萨苏纳" "主力替补" "右脚" 2 1 1 12 14 12 31 11 15 11 28 32 20 44 46 57 66 55 53 76 41 60 20 33 18 14 49 25 58 15 13 12 71 72 71 74 73 "西甲" "替补" 74
"Daniel Raba Antolin" 23 182.88 168 "韦斯卡" "右中场" "左脚" 3 3 1 74 73 42 73 52 77 68 42 75 75 70 66 70 65 59 73 50 61 63 70 50 40 72 70 49 65 38 36 38 12 11 15 12 14 "其他" "中场" 72
"Carlos Neva Tey" 23 175.26 141 "格拉纳达" "左后卫" "左脚" 2 2 1 74 45 57 63 37 69 54 35 45 65 79 81 76 74 69 64 59 69 62 49 69 74 67 51 48 61 74 75 73 8 11 9 6 12 "西甲" "后场" 78
"David García Zubiría" 25 185.42 159 "奥萨苏纳" "左中后卫" "右脚" 3 2 1 61 35 75 69 37 60 33 38 71 69 58 60 44 68 61 47 79 74 77 25 75 73 51 52 44 67 68 73 74 11 16 7 7 8 "西甲" "后场" 76
"Iván Sánchez Aguayo" 26 175.26 141 "埃尔切" "主力替补" "左脚" 3 3 1 69 65 40 68 47 77 72 67 59 76 92 90 84 59 85 51 80 81 33 55 56 17 64 65 65 70 57 22 25 14 8 12 9 8 "其他" "替补" 73
"Antonio Latorre Grueso" 21 170.18 141 "奥萨苏纳" "主力替补" "左脚" 3 3 1 80 55 65 73 59 71 75 38 75 72 78 78 73 72 81 64 50 69 56 53 67 69 68 64 39 64 69 72 72 7 10 13 9 9 "西甲" "替补" 73
"Víctor Rodríguez Romero" 29 167.64 143 "埃尔切" "主力替补" "右脚" 4 3 1 68 66 40 73 50 73 69 80 66 75 78 75 81 69 79 73 30 66 63 73 52 33 72 74 80 59 47 47 44 12 11 15 11 9 "其他" "替补" 72
"Alberto Guitián Ceballos" 28 180.34 152 "萨拉戈萨" "右中后卫" "右脚" 3 2 1 35 36 71 74 31 58 44 34 66 65 64 67 66 68 65 59 87 72 79 37 71 74 52 58 30 70 72 70 69 13 7 11 12 15 "其他" "后场" 71
"Anssumane Fati" 16 177.8 146 "巴塞罗那" "主力替补" "右脚" 4 4 1 68 71 58 71 59 76 64 45 69 74 89 87 88 70 83 67 73 64 47 69 48 19 64 63 74 73 23 32 28 6 9 8 10 7 "西甲" "替补" 76
"Alejandro Fernández Iglesias" 26 182.88 159 "加的斯" "前腰" "右脚" 4 3 1 68 52 58 81 45 74 71 69 76 75 65 56 68 68 68 68 55 75 58 74 64 65 65 76 85 75 66 69 66 16 14 12 16 6 "其他" "中场" 75
"Pedro Antonio Porro Sauceda" 19 172.72 157 "巴拉多利德" "主力替补" "右脚" 3 3 1 75 61 61 69 53 76 56 45 62 78 77 78 79 64 72 68 60 79 50 59 67 68 70 65 46 67 68 71 72 15 7 14 5 7 "其他" "替补" 79
"José Ángel Pozo la Rosa" 23 170.18 143 "巴列卡诺" "主力替补" "右脚" 4 3 1 65 71 57 78 69 76 65 64 76 77 77 69 78 67 81 64 54 65 58 74 39 56 69 68 66 72 61 68 55 8 7 8 8 7 "西甲" "替补" 72
"Asier Riesgo Unamuno" 35 185.42 168 "吉罗纳" "守门员" "右脚" 3 1 1 25 13 14 32 14 12 25 15 33 15 54 55 51 65 58 51 60 41 68 12 34 22 12 43 13 53 18 12 12 73 75 68 73 71 "其他" "守门员" 71
"Álvaro García Rivera" 26 167.64 130 "巴列卡诺" "左中场" "左脚" 3 3 1 67 66 57 66 49 69 61 50 60 68 93 93 85 78 94 65 92 71 32 63 33 22 75 69 55 64 35 22 29 11 8 10 10 14 "西甲" "中场" 73
"José Manuel Rodríguez Benito" 27 187.96 176 "赫塔菲" "左中后卫" "左脚" 3 2 1 48 55 70 67 72 54 36 33 67 66 65 64 66 68 57 75 73 66 73 56 78 71 34 54 48 65 70 74 74 15 11 6 14 12 "西甲" "后场" 72
"Pere Milla Peña" 26 177.8 154 "埃尔切" "中锋" "左脚" 2 3 1 72 75 56 72 62 78 65 58 60 73 78 75 78 68 68 76 51 72 64 70 45 32 72 69 62 57 40 30 28 10 10 14 14 14 "其他" "前场" 73
"Pedro Bigas Rigo" 28 180.34 172 "埃瓦尔" "左中后卫" "左脚" 2 2 1 68 49 71 72 44 55 46 43 60 66 68 68 63 69 65 62 75 67 71 47 82 72 61 35 48 67 74 73 68 15 14 9 13 11 "其他" "后场" 72
"Javier Puado Díaz" 21 177.8 152 "萨拉戈萨" "前腰" "右脚" 3 3 1 48 73 68 72 64 75 47 38 59 74 80 77 79 74 74 68 68 69 67 63 52 24 76 62 59 68 32 18 20 8 9 11 8 13 "其他" "中场" 76
"Juan Torres Ruiz" 29 185.42 172 "加的斯" "左中后卫" "右脚" 3 2 1 59 46 70 72 47 57 67 37 69 63 55 66 67 67 59 70 84 80 82 59 73 72 36 47 46 59 70 72 67 15 8 14 15 10 "其他" "后场" 74
"Luis Jesús Rioja González" 25 175.26 150 "阿拉维斯" "左中场" "左脚" 4 3 1 71 65 32 69 43 74 67 68 63 73 86 78 87 71 82 75 71 74 45 57 36 27 68 63 69 59 42 26 28 6 9 10 12 14 "西甲" "中场" 74
"Federico San Emeterio Díaz" 22 175.26 163 "巴拉多利德" "主力替补" "右脚" 3 2 1 55 53 63 75 56 61 57 56 70 68 64 62 65 72 77 63 66 86 68 51 79 74 53 65 59 70 70 70 72 11 9 7 6 13 "其他" "替补" 73
"Xavier Quintillà Guasch" 22 182.88 161 "比利亚雷亚尔" "主力替补" "左脚" 3 2 1 70 46 70 73 55 69 62 41 70 74 73 74 68 73 63 57 64 75 59 54 68 70 59 56 48 67 68 73 71 14 9 7 7 14 "西甲" "替补" 73
"Marc Navarro Ceciliano" 23 187.96 174 "莱加内斯" "主力替补" "右脚" 2 2 1 75 53 76 75 32 60 62 51 65 74 61 65 61 69 58 71 37 65 68 57 59 73 63 60 35 60 73 75 74 9 12 11 6 8 "其他" "替补" 72
"Álvaro Tejero Sacristán" 22 175.26 152 "埃瓦尔" "主力替补" "右脚" 4 3 1 76 54 55 72 38 73 66 68 67 72 78 78 85 72 88 74 78 88 53 65 63 69 70 63 59 70 66 70 69 13 7 10 9 7 "其他" "替补" 71
"Adrián González Morales" 31 182.88 172 "马拉加" "左中中场" "左脚" 3 3 1 74 72 71 70 57 73 80 69 68 75 65 65 68 78 67 72 70 80 70 70 74 75 71 71 80 67 72 68 67 6 15 12 6 7 "其他" "中场" 68
"Mikel Rico Moreno" 34 177.8 165 "韦斯卡" "右中中场" "右脚" 4 2 1 55 61 58 73 53 62 52 63 72 70 46 35 68 77 73 80 80 78 77 64 74 78 69 75 60 76 69 77 71 15 7 10 9 9 "其他" "中场" 73
"Manuel Morlanes Ariño" 20 177.8 165 "比利亚雷亚尔" "主力替补" "右脚" 3 3 1 65 60 55 78 59 72 64 71 73 77 68 62 70 72 73 63 61 64 62 62 58 67 65 74 68 67 63 57 54 5 9 14 11 14 "西甲" "替补" 72
"Pedro Mosquera Parada" 31 182.88 168 "韦斯卡" "后腰" "左脚" 3 3 2 61 58 65 70 51 65 79 70 69 71 64 34 69 71 62 61 70 83 68 62 74 74 70 72 51 71 73 70 63 10 15 8 14 10 "其他" "中场" 74
"Antonio José Raíllo Arenas" 27 187.96 176 "马洛卡" "左中后卫" "右脚" 3 2 1 29 25 77 71 37 52 42 36 59 61 54 60 35 65 54 54 78 89 69 39 80 73 51 46 43 66 73 73 70 10 15 15 15 14 "西甲" "后场" 72
"Antonio Barragán Fernández" 32 182.88 168 "皇家贝蒂斯" "主力替补" "右脚" 3 3 1 78 44 71 71 59 69 64 51 63 72 69 74 68 71 67 61 69 75 72 53 76 72 66 56 55 62 67 72 73 6 8 11 8 10 "西甲" "替补" 73
"Oier Sanjurjo Maté" 33 177.8 159 "奥萨苏纳" "右中中场" "右脚" 2 2 1 64 62 59 72 44 65 61 45 71 73 67 66 66 69 70 73 79 75 73 65 78 74 69 73 56 61 71 72 69 10 7 6 6 5 "西甲" "中场" 77
"Carlos Martín Vigaray" 24 182.88 154 "萨拉戈萨" "右后卫" "右脚" 3 3 1 70 53 66 67 40 69 58 45 52 70 74 71 73 70 66 48 65 82 75 39 72 71 70 52 45 62 69 76 74 7 13 6 9 15 "其他" "后场" 72
"Bartolomé Nadal Mesquida" 30 187.96 181 "阿尔瓦塞特" "守门员" "右脚" 3 1 1 14 14 18 27 14 13 19 16 25 23 40 38 35 71 36 52 67 34 66 17 25 23 8 40 23 52 29 13 12 70 71 69 72 77 "其他" "守门员" 70
"Óscar Rodríguez Arnaiz" 21 175.26 150 "莱加内斯" "右中场" "右脚" 3 3 1 68 70 45 72 52 79 78 82 68 76 64 66 66 73 74 62 58 61 62 71 48 61 66 73 53 72 47 47 43 12 7 9 11 7 "其他" "中场" 75
"Manuel García Alonso" 21 170.18 143 "希洪竞技" "右中锋" "右脚" 4 4 1 71 61 36 72 69 78 79 68 70 77 78 71 89 70 88 64 44 76 44 60 46 38 62 76 54 74 24 49 44 15 14 12 12 12 "其他" "前场" 74
"Pablo Hervías Rubio" 26 175.26 148 "巴拉多利德" "主力替补" "右脚" 3 4 1 73 65 40 69 51 78 77 75 63 76 78 79 82 70 76 69 64 72 40 64 42 41 65 66 51 70 50 31 33 7 12 13 12 8 "其他" "替补" 73
"Íñigo Lekue Martínez" 26 180.34 159 "毕尔巴鄂竞技" "主力替补" "右脚" 3 3 1 71 67 62 72 41 74 69 56 64 73 89 83 72 72 71 60 67 75 70 68 67 72 71 70 53 66 68 69 69 15 16 13 13 9 "西甲" "替补" 74
"Roberto Ibáñez Castro" 26 177.8 157 "奥萨苏纳" "主力替补" "右脚" 4 3 1 69 69 52 73 59 72 71 71 68 74 77 77 77 70 87 68 55 54 50 65 52 56 69 72 63 68 41 49 42 11 10 9 12 11 "西甲" "替补" 71
"Aitor Cantalapiedra Fernández" 23 177.8 148 "特温特" "主力替补" "左脚" 3 3 1 69 72 42 67 58 74 78 72 59 73 81 79 82 63 75 51 40 68 49 64 51 28 65 72 67 63 30 24 22 11 14 14 10 8 "其他" "替补" 70
"Juan Manuel Marrero Monzón" 36 185.42 176 "富恩拉布雷达" "左中后卫" "左脚" 3 2 1 65 35 85 57 35 41 66 51 65 45 61 65 58 65 53 74 85 63 85 61 79 67 60 48 51 64 69 70 69 7 11 12 9 9 "其他" "后场" 71
"Pedro Alcalá Guirado" 30 195.58 205 "吉罗纳" "右中后卫" "右脚" 4 2 1 45 30 71 67 37 50 62 65 66 63 31 37 31 71 32 80 60 53 91 68 72 71 26 48 39 69 71 71 66 15 10 8 8 11 "其他" "后场" 70
"Jesé Rodríguez Ruiz" 26 177.8 172 "里斯本竞技" "主力替补" "右脚" 4 4 2 68 68 49 71 57 76 74 66 66 82 74 73 72 65 73 73 71 53 68 66 38 33 70 70 68 74 17 23 12 13 7 6 13 15 "其他" "替补" 70
"Daniel Sánchez Ayala" 28 190.5 185 "米德尔斯堡" "主力替补" "右脚" 3 2 1 33 43 74 58 29 64 41 32 50 64 63 64 59 67 54 47 74 74 77 32 82 71 49 59 37 64 72 72 67 15 8 15 6 10 "其他" "替补" 71
"Eugeni Valderrama Domènech" 24 182.88 165 "韦斯卡" "左中中场" "右脚" 3 4 1 70 70 56 75 65 74 73 75 73 76 65 67 71 68 59 65 53 71 72 71 50 58 68 72 72 69 56 59 48 6 10 7 10 7 "其他" "中场" 71
"Daniel Pedro Calvo San Román" 25 190.5 181 "埃尔切" "左中后卫" "右脚" 3 2 1 49 39 67 66 31 43 40 45 56 61 54 45 45 71 44 58 85 67 86 50 73 69 41 48 55 59 69 72 66 11 7 12 13 13 "其他" "后场" 71
"Hugo Fraile Martín" 32 175.26 161 "富恩拉布雷达" "右中场" "右脚" 4 3 1 74 67 49 68 58 70 78 81 65 71 80 83 75 69 74 73 71 72 66 70 76 49 69 67 76 57 32 59 53 7 16 16 7 15 "其他" "中场" 70
"Pablo Ínsua Blanco" 25 187.96 176 "韦斯卡" "主力替补" "右脚" 3 2 1 37 36 72 71 34 44 42 23 62 65 51 54 53 65 63 43 73 50 72 29 69 72 41 52 32 55 71 74 73 9 6 7 13 14 "其他" "替补" 71
"Jorge Sáenz de Miera Colmeiro" 22 193.04 165 "塞尔塔" "主力替补" "右脚" 3 2 1 52 35 74 70 46 61 32 49 60 66 62 69 57 66 64 52 78 85 76 41 70 68 52 71 45 72 73 71 68 7 14 7 8 11 "西甲" "替补" 70
"Aitor García Flores" 25 172.72 152 "希洪竞技" "主力替补" "右脚" 3 3 1 66 70 43 67 64 70 67 65 65 71 83 87 78 69 80 77 68 73 57 71 42 28 68 68 59 67 45 35 34 9 16 13 12 9 "其他" "替补" 72
"Raúl García Carnero" 30 175.26 159 "巴拉多利德" "左后卫" "左脚" 2 2 1 77 58 61 72 54 65 75 73 68 69 66 68 71 68 78 72 76 91 67 62 72 71 62 65 64 64 62 71 72 13 6 11 15 9 "其他" "后场" 73
"Pol Mikel Lirola Kosok" 21 182.88 165 "佛罗伦萨" "右中场" "右脚" 3 3 1 76 40 64 72 58 74 73 30 68 74 79 77 69 71 74 58 67 75 65 52 70 70 66 62 30 70 70 74 73 12 12 5 9 13 "意甲" "中场" 72
"Álvaro José Jiménez Guerrero" 24 175.26 157 "阿尔瓦塞特" "主力替补" "右脚" 3 3 1 70 69 48 67 69 73 74 49 63 71 80 78 76 66 76 75 54 79 59 66 57 48 71 69 49 67 57 39 32 7 12 10 7 5 "其他" "替补" 70
"Jon Ander Garrido Moracia" 29 185.42 176 "加的斯" "左后腰" "右脚" 3 2 1 41 32 60 69 34 50 41 49 64 62 41 44 38 62 39 68 48 91 93 45 87 75 50 60 38 65 65 75 63 15 8 11 8 13 "其他" "中场" 71
"Alberto Escassi Oliva" 30 185.42 172 "努曼西亚" "左中后卫" "右脚" 4 2 1 60 36 80 67 40 57 47 60 65 66 56 38 70 70 63 66 82 83 80 51 80 70 55 60 49 64 71 69 64 16 11 8 7 7 "其他" "后场" 71
"Daniel Jiménez López" 29 177.8 159 "阿尔科孔" "守门员" "右脚" 3 1 1 30 13 13 34 20 12 24 10 21 20 49 55 66 70 44 49 77 40 58 10 29 25 15 54 25 47 16 13 12 73 69 65 69 75 "其他" "守门员" 70
"Francisco Jiménez Tejada" 33 182.88 181 "佩纳罗尔" "左中锋" "右脚" 3 2 1 49 80 79 59 73 58 56 58 37 74 35 37 53 68 59 72 69 68 89 65 72 27 80 53 76 60 40 20 19 8 6 15 16 7 "其他" "前场" 69
"Daniel Pacheco Lobato" 28 170.18 154 "马拉加" "左中场" "右脚" 3 3 1 70 70 47 75 62 74 78 80 73 75 72 70 90 68 91 65 74 68 60 70 48 39 66 69 69 66 41 28 23 12 8 10 13 12 "其他" "中场" 69
"Ander Barrenetxea Muguruza" 17 175.26 163 "皇家社会" "主力替补" "右脚" 4 4 1 66 70 60 66 60 78 60 26 53 76 80 75 80 67 82 67 78 63 50 62 35 17 69 64 59 68 32 12 14 13 11 11 5 13 "西甲" "替补" 73
"Jesús Imaz Ballesté" 28 177.8 154 "比亚韦斯托克" "主力替补" "右脚" 4 3 1 61 73 52 69 63 70 52 55 60 72 77 80 81 73 81 65 60 85 70 66 37 34 73 68 73 61 31 24 23 7 9 15 8 12 "其他" "替补" 71
"David Timor Copoví" 29 185.42 179 "赫塔菲" "替补" "左脚" 3 3 1 61 45 59 76 53 64 78 81 75 72 51 51 53 67 62 82 84 75 77 78 75 69 59 74 69 69 69 74 68 8 8 6 16 13 "西甲" "替补" 73
"Adrián Marín Gómez" 22 180.34 161 "阿拉维斯" "主力替补" "左脚" 2 3 1 72 40 59 73 48 69 62 35 56 73 63 65 67 69 63 60 69 67 71 42 69 74 56 53 38 63 71 73 76 9 14 14 8 8 "西甲" "替补" 73
"Juan Carlos Martín Corral" 31 187.96 181 "吉罗纳" "主力替补" "右脚" 3 1 1 32 14 19 25 15 13 30 12 27 22 58 61 56 67 58 56 70 42 61 15 13 20 11 33 30 51 25 20 21 71 72 74 71 73 "其他" "替补" 73
"Francesc Aday Benítez Caraballo" 31 177.8 165 "吉罗纳" "右中场" "右脚" 4 3 1 75 55 64 69 43 73 66 51 62 75 71 72 80 71 68 47 32 80 57 39 62 70 65 53 68 66 69 70 69 9 15 11 8 16 "其他" "中场" 71
"Rubén Castro Martín" 38 170.18 150 "拉斯帕尔马斯" "中锋" "右脚" 3 3 2 60 75 67 63 68 74 69 68 45 71 72 69 86 73 80 69 81 61 59 70 50 37 77 74 76 68 36 12 14 14 8 15 8 12 "其他" "前场" 69
"David Costas Cordal" 24 182.88 157 "阿尔梅利亚" "右中后卫" "右脚" 3 2 1 65 42 78 74 31 59 30 59 68 74 65 63 66 60 65 46 73 62 65 44 69 76 45 50 50 66 69 72 71 10 15 10 14 6 "其他" "后场" 70
"Juan Pedro Ramírez López" 28 190.5 187 "吉罗纳" "左中后卫" "右脚" 3 2 1 35 35 71 72 13 40 28 35 60 68 42 62 32 70 32 48 71 72 84 27 74 72 32 54 37 67 65 71 70 11 8 11 8 13 "其他" "后场" 68
"Daniel Giménez Hernández" 35 182.88 170 "拉科鲁尼亚" "守门员" "右脚" 2 1 1 11 14 11 27 12 14 13 15 35 12 34 32 40 70 41 51 54 30 52 11 33 17 11 50 25 51 15 15 12 70 69 68 70 78 "其他" "守门员" 69
"Pedro González López" 16 175.26 143 "拉斯帕尔马斯" "左中场" "右脚" 3 4 1 61 65 49 75 47 78 64 51 77 70 85 75 88 61 88 63 66 60 43 60 59 28 68 77 53 80 45 55 53 12 7 11 8 8 "其他" "中场" 77
"Aihen Muñoz Capellán" 21 175.26 150 "皇家社会" "主力替补" "左脚" 3 3 1 68 49 65 69 45 72 63 29 75 68 81 78 70 77 73 55 65 71 66 60 55 72 70 66 36 72 73 72 66 10 9 10 15 15 "西甲" "替补" 74
"Sergi Palencia Hurtado" 23 167.64 148 "圣埃蒂安" "主力替补" "右脚" 3 3 1 72 51 57 70 34 71 58 44 59 69 79 78 75 68 72 68 58 79 67 59 82 68 65 44 45 71 70 72 67 9 14 6 11 11 "法甲" "替补" 72
"Ignacio Vidal Miralles" 24 180.34 165 "奥萨苏纳" "右后卫" "右脚" 3 3 1 75 60 65 71 39 68 73 32 65 71 75 77 67 70 68 59 64 71 66 49 59 70 61 59 36 68 58 73 74 8 8 7 11 9 "西甲" "后场" 75
"Pol Llonch Puyaltó" 26 170.18 154 "威廉二世" "左中中场" "右脚" 3 2 1 55 43 44 68 53 62 53 55 60 66 78 76 74 67 87 65 80 85 65 49 88 76 55 57 51 73 74 77 72 16 13 14 12 6 "其他" "中场" 72
"David Raya Martin" 23 182.88 165 "布伦特福德" "守门员" "右脚" 2 1 1 12 19 20 36 20 17 18 15 30 39 45 41 56 70 38 50 50 29 42 14 24 11 15 41 26 46 28 14 13 72 72 66 70 73 "英超" "守门员" 73
"Juan Villar Vázquez" 31 182.88 159 "巴列卡诺" "主力替补" "右脚" 4 3 1 67 70 64 66 70 71 77 73 57 69 85 91 90 71 69 73 88 71 68 66 68 35 73 73 68 69 55 26 29 6 6 7 7 12 "西甲" "替补" 71
"Antonio Manuel Luna Rodríguez" 28 177.8 150 "巴列卡诺" "左后卫" "左脚" 3 3 1 76 60 66 72 56 67 58 45 63 73 68 67 64 67 67 78 71 71 72 55 82 74 63 69 43 66 72 71 72 6 12 5 15 8 "西甲" "后场" 71
"Rafael Jiménez Jarque" 25 185.42 185 "加的斯" "右中后卫" "右脚" 3 2 1 63 55 71 67 33 56 58 67 71 66 57 60 54 54 70 72 72 82 90 70 90 65 42 58 47 59 66 72 69 8 6 6 15 6 "其他" "后场" 71
"Samuel Sáiz Alonso" 28 175.26 150 "吉罗纳" "主力替补" "右脚" 3 4 1 71 67 40 65 62 74 80 68 66 72 78 72 82 67 84 69 70 71 57 70 52 19 71 77 75 69 22 30 14 9 9 14 15 15 "其他" "替补" 72
"Asier Villalibre Molina" 21 182.88 192 "毕尔巴鄂竞技" "主力替补" "左脚" 3 3 1 34 70 74 55 67 63 60 36 45 68 72 73 72 64 66 81 79 67 90 57 67 31 69 52 73 74 41 32 30 13 15 15 12 14 "西甲" "替补" 71
"David Juncà Reñé" 25 175.26 148 "塞尔塔" "主力替补" "左脚" 2 2 1 73 35 69 72 43 61 59 58 61 61 72 72 72 67 78 61 75 85 70 46 72 69 55 48 55 67 62 70 70 10 9 16 8 9 "西甲" "替补" 71
"Santiago Comesaña Veiga" 22 182.88 161 "巴列卡诺" "主力替补" "右脚" 4 3 1 49 62 66 73 49 63 48 47 64 73 62 59 56 73 51 65 56 75 73 74 59 71 60 70 39 67 77 74 62 8 11 11 6 9 "西甲" "替补" 71
"Jon Bautista Orgilles" 23 180.34 159 "欧本" "主力替补" "右脚" 3 3 1 47 72 65 69 69 70 60 57 58 70 73 77 65 67 70 71 67 70 66 76 40 16 70 52 70 72 25 22 16 9 11 9 11 13 "其他" "替补" 71
"Joaquín José Marín Ruiz" 29 177.8 163 "格拉纳达" "替补" "右脚" 4 3 1 71 62 62 69 51 71 70 52 56 73 75 76 71 66 75 59 55 67 63 59 59 69 65 54 58 62 62 74 72 14 13 7 14 9 "西甲" "替补" 73
"Unai García Lugea" 26 185.42 179 "奥萨苏纳" "主力替补" "左脚" 3 2 1 54 39 72 71 27 45 26 47 62 65 62 67 54 60 61 57 87 83 75 31 67 70 39 51 42 63 62 73 71 13 16 11 14 12 "西甲" "替补" 72
"Javier Fuego Martínez" 35 180.34 168 "希洪竞技" "左中中场" "右脚" 3 2 2 59 54 60 70 53 62 64 62 69 70 45 36 60 70 62 72 70 65 72 64 79 72 58 70 60 77 71 70 67 7 13 14 10 14 "其他" "中场" 70
"Diego González Polanco" 24 185.42 183 "马拉加" "主力替补" "左脚" 3 2 1 71 25 71 66 33 59 59 34 67 64 66 66 66 64 45 42 73 70 76 34 72 67 45 42 42 67 72 71 72 7 7 8 8 12 "其他" "替补" 70
"Juan Carlos Pérez López" 29 177.8 154 "马拉加" "左后卫" "左脚" 2 3 1 76 55 56 73 75 69 72 50 69 75 73 74 77 75 69 69 70 71 64 64 76 69 64 55 55 74 67 65 67 10 9 11 8 6 "其他" "后场" 71
"Brandon Thomas Llamas" 24 172.72 157 "吉罗纳" "左中场" "右脚" 3 4 1 59 73 58 61 67 75 64 54 56 70 78 76 83 71 88 74 72 79 61 70 39 42 74 67 69 66 23 26 27 8 9 7 14 16 "其他" "中场" 69
"Francisco Borja Lasso de la Vega Gayán" 25 177.8 154 "特内里费" "主力替补" "右脚" 4 3 1 70 69 60 71 52 74 63 64 69 70 69 64 70 65 51 74 57 64 66 69 75 35 69 73 67 74 42 35 24 9 11 5 12 12 "其他" "替补" 68
"Jordi Amat Maas" 27 185.42 183 "欧本" "右中后卫" "右脚" 3 2 2 31 34 68 66 28 50 40 36 52 60 61 69 59 65 57 75 77 66 79 65 81 69 30 59 28 69 69 70 69 9 6 7 16 8 "其他" "后场" 70
"Alejandro Centelles Plaza" 19 185.42 172 "法马利康" "左后卫" "左脚" 3 3 1 72 45 63 70 51 68 70 41 70 72 69 74 64 73 57 62 60 78 69 45 70 68 56 60 48 70 66 69 64 14 9 12 10 8 "其他" "后场" 74
"Miguel Juan Llambrich" 23 170.18 150 "韦斯卡" "主力替补" "右脚" 3 3 1 70 33 64 70 57 68 60 27 64 72 71 71 71 71 66 51 71 70 63 60 65 72 59 58 35 62 72 70 68 10 9 11 12 12 "其他" "替补" 72
"Ignasi Miquel i Pons" 26 187.96 176 "吉罗纳" "主力替补" "左脚" 3 2 1 49 18 69 68 26 55 27 24 58 68 58 62 58 70 33 57 58 64 72 21 71 74 26 54 43 62 72 71 70 11 7 6 6 9 "其他" "替补" 71
"Álejandro Gallar Falguero" 27 175.26 157 "吉罗纳" "主力替补" "左脚" 4 3 1 72 73 55 71 58 74 76 80 70 69 71 76 74 62 72 69 61 73 65 71 42 27 67 66 74 64 58 36 25 16 13 9 15 7 "其他" "替补" 71
"Ander Guevara Lajo" 21 180.34 161 "皇家社会" "主力替补" "右脚" 3 3 1 60 69 50 74 37 70 61 59 72 73 60 56 67 63 66 47 61 68 54 67 53 58 66 70 51 68 58 72 57 14 12 11 14 14 "西甲" "替补" 76
"Iñigo Vicente Elorduy" 21 177.8 150 "米兰德斯" "主力替补" "右脚" 4 4 1 67 67 49 74 44 73 64 32 67 73 76 73 75 64 76 58 62 57 49 60 49 45 68 71 56 68 38 44 38 7 7 11 15 15 "其他" "替补" 70
"Iñigo Ruiz de Galarreta Etxeberria" 25 175.26 152 "拉斯帕尔马斯" "左后腰" "右脚" 3 3 1 53 56 51 75 61 67 58 45 72 71 65 68 77 66 79 62 46 76 60 63 72 65 63 73 47 68 66 71 65 12 6 13 7 12 "其他" "中场" 72
"Carlos Pita González" 34 187.96 179 "卢哥" "主力替补" "右脚" 4 3 1 74 68 59 73 55 67 81 70 71 73 34 29 42 73 33 79 52 64 73 68 64 68 69 71 72 77 70 71 69 11 14 9 14 12 "其他" "替补" 69
"Manuel Reina Rodríguez" 34 185.42 179 "马洛卡" "守门员" "右脚" 3 1 1 8 10 12 30 13 12 20 12 36 18 54 59 57 72 58 50 66 44 65 20 35 23 9 31 24 50 17 11 12 68 68 67 74 72 "西甲" "守门员" 73
"Marc Mateu Sanjuán" 29 180.34 157 "努曼西亚" "前腰" "左脚" 3 3 1 73 64 56 72 65 72 71 69 71 72 64 66 72 70 69 74 54 74 68 67 51 69 69 72 66 68 66 63 65 8 11 8 15 15 "其他" "中场" 71
"Ricard Puig Martí" 19 170.18 123 "巴塞罗那" "主力替补" "右脚" 3 3 1 60 58 49 79 56 75 66 51 76 77 68 63 82 70 83 60 55 50 39 54 54 55 55 78 55 75 53 57 53 12 15 14 12 9 "西甲" "替补" 75
"Marc Gual Huguet" 23 182.88 161 "皇家马德里" "替补" "右脚" 3 3 1 48 70 68 66 68 72 55 51 45 70 75 78 65 64 66 70 69 73 67 65 36 19 71 58 55 63 18 14 15 6 8 8 10 12 "西甲" "替补" 67
"David Ferreiro Quiroga" 31 170.18 139 "韦斯卡" "左中场" "右脚" 3 4 1 70 68 32 70 46 73 77 74 69 70 89 85 89 67 89 67 73 39 42 70 69 28 68 65 69 63 59 23 36 6 11 7 7 15 "其他" "中场" 72
"Antonio Jesús Regal Angulo" 31 175.26 148 "巴拉多利德" "主力替补" "右脚" 4 3 1 74 62 54 67 62 67 63 59 49 68 84 78 82 68 79 64 76 80 62 55 72 68 65 60 49 62 65 63 69 12 15 9 8 13 "其他" "替补" 68
"Pedro Tanausú Domínguez Placeres" 28 170.18 161 "拉斯帕尔马斯" "前腰" "右脚" 4 4 1 66 65 28 71 59 74 73 59 66 70 71 65 81 68 88 63 46 68 53 60 26 20 70 72 64 73 34 20 15 7 11 7 8 14 "其他" "中场" 67
"Aitor Sanz Martín" 34 180.34 157 "特内里费" "左后腰" "右脚" 4 3 1 64 54 42 75 55 65 72 70 71 70 66 53 64 65 71 75 70 75 70 62 70 70 62 73 64 77 72 68 62 14 11 12 9 16 "其他" "中场" 69
